epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2528.77,2.39962,2.78005,0.00365,0,0,0,0,0,390.679,0,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,2945.67,2.32117,1.96135,0.00321,0.33326,0.27726,0.22138,0.1211,2.16966,1.66084,0.004,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,8573.77,2.32528,1.8183,0.00319,0.40338,0.2854,0.24804,0.13481,2.16325,1.58448,0.00404,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,11864.2,2.32445,1.72964,0.00317,0.37222,0.29956,0.25795,0.13799,2.17432,1.64622,0.00399,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,18556.8,2.28452,1.64657,0.00308,0.43105,0.30674,0.27811,0.15143,2.1265,1.58414,0.00387,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,20527.6,2.25944,1.61097,0.00304,0.41055,0.30244,0.27767,0.15399,2.16162,1.52117,0.00385,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,21830.8,2.24169,1.57194,0.00297,0.4262,0.33785,0.30378,0.16686,2.08318,1.56353,0.00376,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,24540.5,2.23069,1.55142,0.00294,0.44982,0.32245,0.30913,0.17166,2.09719,1.48029,0.00379,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,27441.2,2.21394,1.53274,0.00293,0.46634,0.32842,0.31642,0.17717,2.07123,1.44735,0.00367,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,30330.7,2.20626,1.5191,0.0029,0.47508,0.34741,0.33327,0.18677,2.04891,1.46026,0.00366,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,33073,2.18692,1.49955,0.00288,0.4562,0.34202,0.31766,0.17671,2.07545,1.44112,0.00367,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,37095.5,2.19068,1.49191,0.00285,0.465,0.3485,0.32577,0.1809,2.04713,1.47608,0.00362,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,39380.4,2.17457,1.47467,0.00285,0.4629,0.34577,0.32968,0.18046,2.04518,1.40727,0.00363,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,40326.2,2.16182,1.46764,0.00282,0.48355,0.34966,0.34013,0.18939,2.01857,1.40545,0.00359,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,41528.5,2.15791,1.45579,0.0028,0.48792,0.35351,0.34664,0.1957,2.00277,1.38286,0.00354,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,42946.9,2.15843,1.44943,0.00278,0.48679,0.3622,0.35451,0.19741,2.02181,1.38329,0.00356,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,44302.1,2.14637,1.44265,0.00277,0.50711,0.35754,0.34807,0.19268,2.01272,1.41087,0.00355,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
